index|LATITUDE|LONGITUDE|name
202|361|47.2472|-122.4122|TACOMA NUMBER 1, WA US
203|369|46.2506|-119.3243|RICHLAND 3.4 SSW, WA US
204|371|46.6585|-120.7423|COWICHE 1.6 WSW, WA US
205|372|46.5367|-120.7134|YAKIMA 9.6 WSW, WA US
206|373|45.9|-122.22|CALAMITY, WA US
207|375|46.287|-119.305|RICHLAND 0.8 SW, WA US
208|377|45.699|-122.6506|VANCOUVER 4.2 NNE, WA US
209|378|45.9981|-120.3006|BICKLETON, WA US
210|379|46.6093|-120.5751|YAKIMA 2.5 WNW, WA US
211|380|45.6297|-122.3698|WASHOUGAL 3.7 NNW, WA US
212|384|45.5845|-122.374|CAMAS 2.4 E, WA US
213|386|46.5265|-124.051|OCEAN PARK 2.2 N, WA US
214|387|47.2867|-122.5025|TACOMA 3.1 NW, WA US
215|390|48.86|-121.44|EASY PASS, WA US
216|392|47.1739|-122.5978|STEILACOOM 0.4 NW, WA US
217|396|47.211000000000006|-122.256|EDGEWOOD 2.5 SE, WA US
218|399|48.26|-121.6036|DARRINGTON RANGER STATION, WA US
219|404|47.5139|-123.81200000000001|QUINAULT 4 NE, WA US
220|406|48.464444|-119.516944|OMAK, WA US
221|408|46.4428|-117.5701|POMEROY 2.5 SSE, WA US
222|415|46.5802|-120.538|YAKIMA 1.0 SSW, WA US
223|421|48.86|-118.4|SENTINEL BUTTE, WA US
224|429|47.4332|-122.1704|RENTON 3.6 SSE, WA US
225|431|47.9214|-118.9409|GRAND COULEE 3.2 ESE, WA US
226|432|47.1556|-121.6114|GREENWATER WASHINGTON, WA US
227|433|47.8657|-118.1473|DAVENPORT 14.8 N, WA US
228|442|47.2422|-121.1869|EASTON, WA US
229|443|48.76|-121.7|MARTEN RIDGE, WA US
230|447|47.798|-120.4014|ENTIAT 12.2 NW, WA US
231|451|46.2099|-119.2816|KENNEWICK 5.3 W, WA US
