LATITUDE|LONGITUDE|ELEVATION|DATE|AWND|CDSD|CLDD|DP01|DP10|DSND|DSNW|DT00|DT32|DX32|DX70|DX90|EMNT|EMSD|EMSN|EMXP|EMXT|FZF0|FZF1|FZF2|FZF3|FZF4|FZF5|FZF6|FZF7|FZF8|FZF9|HDSD|HTDD|PRCP|PSUN|SNOW|TAVG|TMAX|TMIN|TSUN|WDF2|WDF5|WDFG|WDMV|WSF2|WSF5|WSFG|name
72|46.81|-121.33|1405.1|1998||146.0|146.0|159.0|159.0|||6.0|195.0|52.0|73.0|5.0|-7.0|||3.7|94.0|32.0|27.0|23.0|16.0|16.0|29.0|26.0|24.0|18.0|16.0|9040.0|9040.0|73.85|||41.1|49.6|32.6|||||||||BUMPING RIDGE, WA US
73|47.8452|-121.9944|36.6|1997||||||||||||||||||||||||||||5088.0|5088.0|||||||||||||||MONROE, WA US
74|47.0933|-117.5878|595.0|1997||360.0|360.0|88.0|54.0||8.0|0.0|115.0|20.0|134.0|20.0|3.0||3.8|0.83|99.0|31.0|28.0|23.0|20.0|16.0|32.0|21.0|21.0|19.0|3.0|6179.0|6179.0|17.38||16.5|49.8|61.2|38.3|||||||||SAINT JOHN, WA US
75|47.0933|-117.5878|595.0|1998||538.0|538.0|101.0|53.0||6.0|2.0|97.0|11.0|140.0|40.0|-4.0||3.5|0.9|103.0|32.0|26.0|20.0|20.0|13.0|32.0|27.0|22.0|12.0|12.0|5529.0|5529.0|17.4||14.4|51.6|63.6|39.6|||||||||SAINT JOHN, WA US
76|47.5688|-122.6827|33.5|1998||227.0|227.0|177.0|118.0||1.0|0.0|28.0|7.0|107.0|4.0|17.0||1.0|2.65|97.0|29.0|20.0|20.0|20.0||30.0|26.0||||||70.47||1.0|53.0|61.1|44.8|||||||||BREMERTON, WA US
77|46.4672|-117.5883|589.5|1998||||134.0|58.0||0.0|||8.0|133.0|48.0|||0.0|0.92|105.0|||||||||||||19.49||0.0||63.9||||||||||POMEROY, WA US
78|47.6812|-117.6267|729.1|1997||220.0|220.0|111.0|57.0|63.0|11.0|0.0|173.0|32.0|103.0|9.0|2.0|7.0|3.9|0.76|98.0|31.0|26.0|21.0|14.0|14.0|31.0|27.0|20.0|20.0|15.0|||16.13||30.5|46.0|56.9|35.1|||||||||SPOKANE WEATHER FORECAST OFFICE, WA US
79|47.6812|-117.6267|729.1|1998||437.0|437.0|128.0|50.0|14.0|12.0|4.0|144.0|18.0|127.0|33.0|-6.0|8.0|7.0|0.88|101.0|30.0|28.0|24.0|16.0|16.0|32.0|26.0|24.0|20.0|11.0|6714.0|6714.0|18.84||32.1|48.2|59.6|36.8|||||||||SPOKANE WEATHER FORECAST OFFICE, WA US
80|47.3058|-121.8513|280.4|1997||87.0|87.0|208.0|163.0|7.0|5.0|0.0|45.0|0.0|78.0|0.0|20.0|1.0|1.0|2.15|89.0|24.0|24.0|24.0|||30.0|27.0|20.0|20.0||5608.0|5608.0|96.68||5.4|50.9|59.4|42.5|||||||||PALMER 3 ESE, WA US
81|47.3058|-121.8513|280.4|1998||156.0|156.0|209.0|147.0||3.0|0.0|34.0|6.0|86.0|3.0|12.0||5.0|3.93|96.0|32.0|25.0|14.0|14.0|14.0|32.0|21.0|21.0|17.0||5085.0|5085.0|82.56||10.8|50.7|58.3|43.1|||||||||PALMER 3 ESE, WA US
82|46.0436|-118.4628|192.6|1997||||95.0|44.0|11.0|3.0|||||||3.0|3.0|0.82||||||||||||||14.44||7.1||||||||||||WHITMAN MISSION, WA US
83|46.0436|-118.4628|192.6|1998||||||||||||||||||||||||||||4695.0|4695.0|||||||||||||||WHITMAN MISSION, WA US
84|46.18|-121.93|1036.3|1997||18.0|18.0|166.0|166.0|||0.0|178.0|25.0|47.0|0.0|5.0|||3.7|85.0|30.0|27.0|24.0|14.0|14.0|31.0|26.0|20.0|17.0|11.0|8497.0|8497.0|118.58|||42.2|51.1|33.4|||||||||SPENCER MEADOW, WA US
85|46.18|-121.93|1036.3|1998||80.0|80.0|172.0|172.0|||2.0|160.0|20.0|65.0|6.0|-3.0|||4.0|94.0|31.0|28.0|24.0|16.0|6.0|31.0|26.0|22.0|18.0|14.0|8072.0|8072.0|122.28|||43.0|51.5|34.5|||||||||SPENCER MEADOW, WA US
86|47.1455|-123.4005|33.5|1997||||202.0|158.0|0.0|0.0|||||||0.0|0.0|7.05||||||||||||||113.59||0.0||||||||||||MATLOCK 8 S, WA US
87|47.1455|-123.4005|33.5|1998||||193.0|140.0||2.0||||||||7.5|3.62||||||||||||||95.38||8.8||||||||||||MATLOCK 8 S, WA US
88|45.8677|-121.9733|345.6|1997||104.0|104.0|163.0|130.0|106.0|13.0|0.0|137.0|6.0|111.0|7.0|11.0|28.0|5.5|3.79|95.0|31.0|27.0||||31.0|26.0|21.0|20.0|16.0|6540.0|6540.0|103.5||46.3|47.9|58.0|37.7|||||||||CARSON FISH HATCHERY, WA US
89|45.8677|-121.9733|345.6|1998||307.0|307.0|171.0|141.0||9.0|0.0|98.0|11.0|114.0|26.0|4.0||13.0|5.41|105.0|31.0|28.0|18.0|18.0|12.0|32.0|28.0|22.0|14.0|14.0|5940.0|5940.0|107.22||66.5|49.3|59.6|39.0|||||||||CARSON FISH HATCHERY, WA US
90|45.6194|-121.1661|71.6|1997||994.0|994.0|89.0|32.0|13.0|2.0|0.0|64.0|3.0|165.0|51.0|16.0|5.0|1.7|1.34|106.0|32.0|28.0|23.0|||27.0|27.0|23.0|16.0|16.0|4491.0|4491.0|12.98||4.5|56.1|66.9|45.4|||||||||DALLESPORT AIRPORT, WA US
91|45.6194|-121.1661|71.6|1998||1064.0|1064.0|118.0|48.0|11.0|4.0|0.0|52.0|8.0|153.0|55.0|7.0|13.0|10.7|1.27|111.0|30.0|27.0|18.0|18.0|10.0|32.0|25.0|16.0|16.0|16.0|4007.0|4007.0|19.06||20.9|56.6|67.6|45.6|||||||||DALLESPORT AIRPORT, WA US
92|47.6575|-118.1615|722.1|1998||||89.0|51.0||8.0|4.0|143.0|17.0|131.0|35.0|-5.0||2.0|0.89|102.0|32.0|20.0|20.0|20.0|8.0|32.0|28.0|24.0|20.0|12.0|||16.83||18.5|48.2|59.8|36.6|||||||||DAVENPORT, WA US
93|47.8091|-122.9136|37.5|1997|||||||0.0||||||||0.5|||||||||||||||60.7||0.5||||||||||||QUILCENE 2 SW, WA US
94|47.8091|-122.9136|37.5|1998|||||||1.0||||||||4.0|||||||||||||||||4.3||||||||||||QUILCENE 2 SW, WA US
95|46.26|-122.18|1072.9|1997||10.0|10.0|166.0|166.0|||0.0|141.0|20.0|14.0|0.0|13.0|||3.7|78.0|29.0|26.0|21.0|14.0|14.0|30.0|24.0|21.0|19.0|16.0|||99.28|||41.7|47.9|35.6|||||||||SPIRIT LAKE, WA US
96|46.26|-122.18|1072.9|1998||||177.0|177.0|||||||||||5.1||||||||||||||97.64||||||||||||||SPIRIT LAKE, WA US
